winter_pro1_no_EV,winter_pro2_no_EV,winter_pro3_no_EV,winter_pro4_no_EV,winter_pro5_no_EV
-214.057692113333,-228,-175.333333333333,-186,-51.3333333333333
-72.55219735,-231,-41,-129.666666666667,-41
-72.55219735,-117,-41,-231,-53.6666666666667
-186.55219738,-41,-41,-41,-231
-257.885530733333,-61.6666666666667,-251.666666666667,-61.6666666666667,-261.666666666667
-227.5521974,-196,-284.666666666667,-196,-144.333333333333
-128.05769212,-214.666666666667,-113.333333333333,-113.333333333333,-41
-41,-218.333333333333,-41,-218.333333333333,-41
-53.6666666666667,-41,-41,-142.333333333333,-142.333333333333
-231,-41,-129.666666666667,-41,-270
-199.666666666667,-123.666666666667,-313.666666666667,-123.666666666667,-196
-196,-196,-196,-196,-82.3333333333333
-51.3333333333333,-241.333333333333,-51.3333333333333,-127.333333333333,-41
-41,-129.666666666667,-41,-231,-41
-142.333333333333,-41,-41,-53.6666666666667,-231
-218.333333333333,-41,-218.333333333333,-41,-243.333333333333
-185.666666666667,-185.666666666667,-287,-185.666666666667,-175.333333333333
-144.333333333333,-233,-144.333333333333,-144.333333333333,-41
-41,-231,-41,-205.666666666667,-41
-41,-41,-41,-155,-129.666666666667
-231,-41,-117,-41,-251.666666666667
-181.333333333333,-92.6666666666667,-282.666666666667,-92.6666666666667,-196
-196,-196,-208.666666666667,-196,-113.333333333333
-82.3333333333333,-259.666666666667,-82.3333333333333,-145.666666666667,-41
-41,-142.333333333333,-41,-231,-41
-129.666666666667,-41,-41,-66.3333333333333,-218.333333333333
-231,-41,-205.666666666667,-41,-225
-154.666666666667,-154.666666666667,-268.666666666667,-154.666666666667,-196
-175.333333333333,-251.333333333333,-175.333333333333,-175.333333333333,-51.3333333333333
-41,-231,-41,-193,-41
-44.4666666666667,-53.6666666666667,-41,-175.666666666667,-117
-231.333333333333,-41,-109.666666666667,-81,-231
813,959.333333333333,708,519.533333333333,822.666666666667
689.781135933333,803.666666666667,719.666666666667,743.266666666667,876.666666666667
204.514469373333,703,827.666666666667,718.666666666667,572.2
780.4478026,821.666666666667,473.866666666667,611.666666666667,795.466666666667
1620.7478026,1875.3,1760.63333333333,1671.23333333333,1617.3
1506.7478026,1869.96666666667,1589.96666666667,1624.3,1549.63333333333
1533.15216138667,1334.16666666667,1106.16666666667,1546.96666666667,1560.3
1579.95333333333,1448.9,1571.63333333333,1112.1,1673.96666666667
669.666666666667,439.066666666667,-490.62757858667,445.4,640
680,163.866666666667,-1817.823742,540.666666666667,576.666666666667
515.333333333333,189.2,-1870.223742,680,450
578.133333333333,589,-2420.623742,680,501.156834346667
-135.45,-864.98333333333,-1797.25084830667,-189.958424586667,-216.607075733333
-96.783333333333,-1504.45,-167.700279193333,-2190.33553033333,-44.940409066667
22.55,-1281.91666666667,-68.308193293333,-1295.00219718667,-610.007075626667
-44.25,9.55000000000001,-73.8259397,-59.668864066667,-234.2737424
-1147.56666666667,-2190.5,-306.742606366667,-64.585530733333,-258.657075733333
-101.7,-3104.10407746667,-419.209273033333,-75.987545626667,-416.252997973333
-302.406666666667,-2774.7655004,-766.259851566667,-166.7,-1406.36666666667
-207.38,-3366.35594,-305.9,-221.766666666667,-1312.7
-110.288249493333,-606.67593976,-264.535492906667,-329.1,-81.86882624
-273.3237424,-24.899546726667,-303.3237424,-189.5,-202.457075733333
-275.335646726667,-26.471602153333,-543.6437424,-205.5,-1453.79040885333
-153.609273033333,-158.542606366667,-387.190409066667,-945.95333333333,-2596.39040866667
-322.259273033333,-474.9259397,-459.977578773333,-549.936666666667,-2630.70707533333
-187.9259397,-337.659273033333,-313.35,-473.75,-3258.91403506667
-252.34536304,-360.859273053333,-237.67949696,-419.883333333333,-2767.25927333333
-369.216666666667,-609.966435466667,-856.107075626667,-356.55,-457.086610493334
-259.666666666667,-241.717399133333,-429.650409066667,-393.466666666667,-297.218864066667
-356,-1292.21886372,-434.0637424,-806.8,-410.485530733334
-277.2745808,-1761.41886366667,-285.157075733333,-468.4,-841.3820508
-212.8237424,-416.485530706667,-277.827578773333,-473.333333333333,-354.333333333333
-472.8237424,-264.5521974,-393.63932928,-347.24175792,-566.576498986667
-513.157075733333,-264.138278093333,-573.357075733333,-353.5521974,-484.8237424
-460.8237424,-323.666666666667,-532.8237424,-436.218864066667,-543.895353753334
-936.89424536,-547.908424586667,-573.3759397,-459.1521974,-325.709273033333
-397.157075733333,-434.885530733333,-396.442606366667,-490.85435688,-284.3759397
-368.357075733333,-382.9521974,-940.015027593334,-346.03070204,-494.633109446667
-1319.3759399,-672.35219732,-507.5521974,-265.8237424,-424.5521974
-1596.04260666667,-272.5521974,-958.018863986667,-265.8237424,-360.977106146667
-502.721023606667,-221.51739913,-338.218864066667,-212.894245438,-375.333333333333
-363.218864066667,-822.133333333333,-224.285530716667,-349.93131844,-241
-334.5521974,-384.266666666667,-156.826778166667,-397.03852868,-330.866666666667
-516.052901266667,-243.103479826667,-671.17593976,-257.709273033333,-552
-557.75506078,-335.085530733333,-1043.10927311333,-284.3759397,-446
-454.1759397,-459.007113553333,-474.3759397,-336.042606366667,-517.788249493333
-439.3759397,-687.3759397,-547.042606366667,-439.3759397,-446.157075733333
-765.842606426666,-1024.17593976,-393.579776113333,-504.58239818,-349.6237424
-425.979776113333,-409.709273033333,-272.5521974,-973.575091146667,-376.357075733333
-586.1782145,-348.909273033333,-371.782050906667,-406.5521974,-447.318247626667
-460.295353753333,-299.905195346667,-451.29450528,-404.818864066667,-386.948360986667
-519.042606366667,-531.709273033334,-511.948360986667,-507.218864066667,-361.5521974
-539.709273033334,-729.709273033333,-539.709273033334,-563.945237746667,-216.018864066667
-373.109273033333,-456.13418186,-938.442606446666,-505.066107393333,-206.218864066667
-513.069943806667,-373.8237424,-405.3759397,-405.3759397,-293.777106146667
-619.19362632,-373.035492906667,-564.86550024,-405.3759397,-117
-404.746666666667,-382.666666666667,-459.304328346667,-426.042606366667,-185.666666666667
-508.933333333333,-618.333333333333,-557.222941753333,-530.4046849,-144.333333333333
-313.333333333333,-611.666666666667,-477.709273033334,-522.933333333333,-41
-253.666666666667,-378.827838613333,-411.442606366667,-512.896498986667,-142.333333333333
-376.954212293333,-326.885530733333,-440.3759397,-307.157075733333,-218.333333333333
-148.55219737,-193.5521974,-365.24462132,-173.8237424,-92.6666666666667
-155.218864043333,-260.085530733333,-139.031415140667,-256.490409066667,-196
-227.5521974,-417.5521974,-209,-404.8237424,-82.3333333333333
-82.8855306866667,-146.31043948,-52.2,-325.757075733333,-41
-167.57509123,-41,-41,-56.819664634,-231
-218.333333333333,-41,-218.333333333333,-41,-129.666666666667
-41,-41,-142.333333333333,-41,-154.666666666667
-185.666666666667,-274.333333333333,-185.666666666667,-185.666666666667,-175.333333333333
-144.333333333333,-334.333333333333,-144.333333333333,-309,-41
-41,-41,-41,-155,-129.666666666667
-231,-41,-117,-41,-231
-129.666666666667,-41,-231,-41,-61.6666666666667
-92.6666666666667,-92.6666666666667,-105.333333333333,-92.6666666666667,-196
-196,-373.333333333333,-196,-259.333333333333,-113.333333333333
-82.3333333333333,-183.666666666667,-82.3333333333333,-272.333333333333,-41
-129.666666666667,-41,-41,-66.3333333333333,-218.333333333333
-231,-41,-205.666666666667,-41,-142.333333333333
-41,-41,-155,-41,-123.666666666667
-154.666666666667,-230.666666666667,-154.666666666667,-154.666666666667,-196
-175.333333333333,-365.333333333333,-175.333333333333,-327.333333333333,-51.3333333333333
-41,-53.6666666666667,-41,-167.666666666667,-117
-218.333333333333,-41,-104.333333333333,-41,-231
-142.333333333333,-41,-231,-41,-53.6666666666667
-61.6666666666667,-61.6666666666667,-87,-61.6666666666667,-185.666666666667
-196,-360.666666666667,-196,-246.666666666667,-144.333333333333
-113.333333333333,-227.333333333333,-113.333333333333,-303.333333333333,-41
-117,-41,-41,-79,-205.666666666667
-231,-41,-193,-41,-155
-53.6666666666667,-41,-167.666666666667,-41,-92.6666666666667
-123.666666666667,-187,-123.666666666667,-123.666666666667,-196
-196,-386,-196,-335.333333333333,-82.3333333333333
-51.3333333333333,-76.6666666666667,-51.3333333333333,-190.666666666667,-104.333333333333
-205.666666666667,-41,-91.6666666666667,-41,-231
-155,-41,-231,-41,-77
-41,-41,-79,-41,-194.666666666667
270.783333333333,118.783333333333,270.783333333333,232.783333333333,238.45
312.116666666667,185.45,312.116666666667,122.116666666667,329.383333333333
261.45,351.45,370.116666666667,351.45,119.116666666667
33.45,335.45,100.116666666667,314.116666666667,197.783333333333
-221.333333333333,-76.866666666667,-335.333333333333,-162.2,-107.666666666667
-247.666666666667,-890.32,-296.066666666667,-260.666666666667,-276.782050906667
-351,-2554,-484.133333333333,-1023.73333333333,-326.1521974
-205.333333333333,-664.333333333333,-368.666666666667,-402.333333333333,-291.218864066667
-224.45,-85.45,-777.516666666667,-1040.65,-347.0021974
-607.583333333333,-97.447985106667,-396.45,-1476.05,-188.69175792
-85.45,-237.26886404,-155.383333333333,-611.65,-208.116666666667
-199.116666666667,-627.002197346667,-719.183333333333,-441.183333333333,-241.383333333333
-183.883333333333,-887.83553062667,-170.883333333333,-790.15,-93.04450528
-84.216666666667,-169.4221974,-129.076959653333,-273.883333333333,-226.1021974
-186.55,-459.867399133333,-194.768864066667,-183.883333333333,-236.768864066667
-74.55,-389.15,-2556.83553036,-122.15,-68.1021974
-166.15,-433.283333333333,-2716.63960853333,-177.416666666667,-348.325091253333
-410.35,-494.255995946667,-2916.25927333333,-415.35,-294.016666666667
-594.216666666667,-372.5737424,-2186.05927325333,-383.11474848,-277.95
-280.083333333333,-249.5737424,-286.43047998,-155.5737424,-467.75
-311.483333333333,-664.77374232,-430.15,-170.9737424,-319.816666666667
-187.291247466667,-255.440409066667,-711.793165653333,-195.1737424,-253.55
-374.640409066667,-437.107075733333,-347.640409066667,-387.307075733333,-337.271582826667
-1780.30707546667,-499.707075733333,-454.90506078,-630.667746453333,-202.640409066667
-1825.62374210667,-307.6745808,-276.7759397,-784.933333333333,-212.757075733333
-500.6237424,-279.8,-607.77593974,-831.866666666667,-216.290409060667
-1030.04316565333,-290.466666666667,-583.642606386667,-298.8,-63.0904090506667
-1184.1104394,-345.80407776,-340.07245988,-330.8,-190.772662613333
-784.15219724,-584.690409066667,-466.666666666667,-575.733333333333,-265.666666666667
-429.5521974,-1215.09040893333,-425.333333333333,-642.666666666667,-180.666666666667
-493.218864066667,-2711.823742,-278.2,-372.247243413333,-373.2
-558.5521974,-2711.823742,-465.24,-403.27245988,-664.133333333333
-389.885270886667,-2740.9726624,-453.686959653333,-405.3759397,-230.63932928
-958.557075626667,-1739.46666666667,-445.218864066667,-457.042606366667,-407.8237424
-520.757075733333,-560.666666666667,-548.5521974,-701.9759397,-325.157075733333
-440.490409066667,-282.333333333333,-434.885530733333,-387.827838613333,-367.690409066667
-575.090409066667,-245.206959653333,-494.885530733333,-305.533333333333,-430.490409066667
-450.157075733333,-276.885530733333,-570.885530733333,-362,-258.72949696
-376.576498986667,-298.218864066667,-404.370732466667,-362,-453.357075733333
-488.666666666667,-589.218864066667,-396.392327253333,-564.333333333333,-540.957075733333
-409.357075733333,-502.979776113334,-542.06550024,-696.850732466667,-396.8237424
-400.8585406,-290.56898006,-418.3759397,-317.615027653333,-563.8237424
-982.842606426666,-785.89040896,-674.6159397,-284.3759397,-449.035492906667
-418.3759397,-349.6237424,-546.473109446667,-284.3759397,-257.133333333333
-431.1601115,-500.03070204,-2246.0543571,-305.042606366667,-385.666666666667
-561.08169432,-737.709273033333,-2906.823742,-599.881434473333,-344.333333333333
-463.725207266667,-465.885530733333,-3501.007808,-823.92566056,-345.486331306667
-453.3411415,-369.3521974,-3005.30927333333,-241,-430.157075733333
-360.3759397,-272.5521974,-1807.17593986,-294.917746453333,-341.557075733333
-284.3759397,-354.2960457,-354.007113553333,-405.3759397,-425.490409066667
-297.222941753333,-490.3759397,-409.5521974,-497.3759397,-528.8237424
-227.5521974,-328.042606366667,-342.24175792,-550.3759397,-414.36882624
-163.184065786667,-94.7092730613334,-172.333333333333,-228.3759397,-463.266666666667
-218.333333333333,-84.37593973,-339.333333333333,-112.974831382667,-329.666666666667
-41,-62.2916233486667,-158.466666666667,-41,-241
-41,-129.666666666667,-41,-41,-354.666666666667
-185.666666666667,-375.666666666667,-185.666666666667,-350.333333333333,-407.6
-144.333333333333,-144.333333333333,-144.333333333333,-258.333333333333,-450.666666666667
-231,-41,-117,-41,-352
-129.666666666667,-41,-231,-41,-162
-41,-41,-53.6666666666667,-41,-166.533333333333
-92.6666666666667,-270,-92.6666666666667,-156,-196
-196,-297.333333333333,-196,-386,-113.333333333333
-171,-82.3333333333333,-82.3333333333333,-107.666666666667,-218.333333333333
-231,-41,-205.666666666667,-41,-142.333333333333
-41,-41,-155,-41,-41
-41,-117,-41,-41,-123.666666666667
-154.666666666667,-344.666666666667,-154.666666666667,-306.666666666667,-196
-175.333333333333,-188,-175.333333333333,-302,-127.333333333333
-218.333333333333,-41,-104.333333333333,-41,-231
-142.333333333333,-41,-231,-41,-53.6666666666667
-41,-41,-66.3333333333333,-41,-41
-61.6666666666667,-226.333333333333,-61.6666666666667,-112.333333333333,-185.666666666667
-196,-310,-196,-386,-144.333333333333
-189.333333333333,-113.333333333333,-113.333333333333,-151.333333333333,-205.666666666667
-231,-41,-193,-41,-155
-53.6666666666667,-41,-167.666666666667,-41,-41
-41,-104.333333333333,-41,-41,-92.6666666666667
-123.666666666667,-313.666666666667,-123.666666666667,-263,-196
-196,-221.333333333333,-196,-335.333333333333,-145.666666666667
-216,-51.3333333333333,-102,-51.3333333333333,-231
-155,-41,-231,-41,-66.3333333333333
-41,-41,-79,-41,-41
-41,-193,-41,-79,-154.666666666667
-185.666666666667,-312.333333333333,-185.666666666667,-375.666666666667,-175.333333333333
-207.666666666667,-144.333333333333,-144.333333333333,-195,-193
-231,-41,-180.333333333333,-41,-167.666666666667
-66.3333333333333,-41,-180.333333333333,-41,-41
-41,-91.6666666666667,-41,-41,-61.6666666666667
-92.6666666666667,-282.666666666667,-92.6666666666667,-219.333333333333,-196
-196,-234,-196,-348,-196
-234.333333333333,-82.3333333333333,-120.333333333333,-82.3333333333333,-345.666666666667
-167.666666666667,-41,-231,-41,-220.333333333333
-41,-41,-91.6666666666667,-41,-219.666666666667
-51.6666666666667,-180.333333333333,-41,-69.8666666666667,-323.666666666667
-236.4,-358,-154.666666666667,-397.666666666667,-396
-799.716666666667,-226.983333333333,-138.983333333333,-300.65,-351.316666666667
-290.316666666667,-188.583333333333,-218.25,-213.4737424,-421.65
-668.716666666667,-134.983333333333,-260.316666666667,-141.607075723333,-322.65
2.6833333333333,-39.65,-1.65,-0.473742369999997,-1986.91666666667
66.3833333333333,-136.616666666667,53.3833333333333,-59.440409054667,-2877.61666666667
-83.95,-159.216666666667,-89.363919306667,-238.13441312,-2858.15
-175.652159573333,-470.416666666667,-84.502197396667,6.71666666666701,-2302.15
-1840.10707538667,-56.75,-315.5021974,-53.193772813333,-163.616666666667
98.04292445333,950.564507093333,846.181135933333,946.0478026,985.266666666667
-557.35707544,839.109590933333,919.0478026,933.381135933333,938.933333333333
-701.40407746667,733.709590933333,846.898535066667,673.381135933333,835.6
663.6,194.58959104,795.6,724.581135933333,822.6
694.847002026667,1000.17242122667,895.6,1001.33534822667,869.066666666667
847.109590933333,-582.4,857.266666666667,1057.26666666667,1017.6
970.3762576,-74.4000000000001,1017.6,1069.02350101333,-849.06666666667
1018.7762576,845.2,484.266666666667,957.442924266667,103.93333333333
-126.540409066667,-22.516666666667,-2030.85,-145.6737424,-21.916666666667
-106.6737424,61.15,-18.25,-326.807075653333,-41.85
-18.426498986667,175.15,-617.020146493333,76.739590933333,84.816666666667
132.78525152,175.15,0.597802599999966,164.902756586667,125.011721906667
1767.91929796,1712.55,1661.92322183333,1759.06941402667,1744.73113593333
1696.70739363333,1576.45666666667,1623.5740603,1427.36638747333,1609.53113593333
1573.24072696667,1615.71,1565.5740603,1414.7740603,1566.06446926667
1025.64072690667,1772.47838857333,1609.04072696667,1591.24072696667,1523.1978026
-376.115027653333,-194.8521974,-374.0759397,-235.002313393333,-300.017399133333
-308.0521974,-212.718864066667,-100.915027653333,-167.3237424,-289.5
-308.0521974,-382.0521974,-201.0521974,-245.743165653333,-309.3
-421.718864066667,-368.385530733333,-312.5,-996.96283024,-284.166666666667
-569.618864066667,-374.685530733333,-389.333333333333,-411.690409066667,-395.933333333333
-379.598332426667,-232.025216553333,-437.266666666667,-333.8237424,-210.333333333333
-328.357075733333,-219.13418186,-249.666666666667,-667.023742346667,-171.333333333333
-381.490409066667,-856.17593976,-560.8,-2832.823742,-251.333333333333
-407.490409066667,-2981.37594,-181.666666666667,-3026.88249466667,-390.866666666667
-679.15707568,-2950.50927333333,-436.8,-3567.2,-550.533333333333
-1629.06283013333,-2876.77594,-517.666666666667,-2769.88633122667,-662.354212293333
-1443.51774626667,-2906.34044653333,-552,-373.8237424,-405.685530733333
-269.557075733333,-945.110439453333,-378.827838613333,-373.8237424,-414.434692266667
-265.8237424,-552,-393.5521974,-2250.15707544,-470.042606366667
-348.490409066667,-533.333333333333,-411.685530733333,-3027.09040866667,-562.709273033333
-522.157075733333,-481,-508.218864066667,-3465.03453813333,-486.260555553333
-443.957075733333,-264.333333333333,-579.11538424,-2794.88553033333,-378.957075733333
-241,-254,-468.851079786667,-2784.552197,-386.035492906667
-303.774831386667,-407.2,-375.92722222,-285.5521974,-375
-418.3759397,-564.503479826667,-405.3759397,-435.611904413333,-488.666666666667
-563.042606366667,-538.218864066667,-550.042606366667,-905.777106093334,-603.992327253333
-711.709273033333,-508.709273033334,-559.721023546667,-375.885530733333,-507.357075733333
-496.642606366667,-405.3759397,-595.3759397,-283.587690213333,-373.8237424
-264.922084,-480.242606366667,-394.904328346667,-284.3759397,-373.8237424
-248.09424544,-609.873888886667,-390.65158096,-363.842606366667,-927.239329253333
-304.490409066667,-1093.86304776,-457.042606366667,-647.042606366667,-541.8237424
-519.628687086667,-644.28169432,-546.791526626667,-948.17806062,-636.490409066667
-515.709273033334,-1034.37593978,-599.5521974,-403.333333333333,-431.690409066667
-284.3759397,-405.3759397,-507.5521974,-362,-363.181727446667
-284.3759397,-481.3759397,-378.827838613333,-265.2,-465.309943806667
-284.3759397,-572.23766168,-364.103479826667,-415.872565873333,-476.218864066667
-370.697368706667,-499.36882624,-507.218864066667,-524.709273033333,-1024.35219732
-1053.02374232,-391.466666666667,-591.034692266667,-418.709273033333,-593.885530733333
-472.792327253333,-264.138278093333,-474.3759397,-284.3759397,-358.33695778
-173.8237424,-72.55219735,-105.502313411333,-84.37593973,-405.3759397
-173.8237424,-237.21886406,-52.82374237,-122.160458804667,-405.3759397
-194.490409066667,-207.218864053333,-73.4904090406667,-251.666666666667,-949.842606426666
-283.8237424,-227.5521974,-207.8237424,-234,-1073.17593976
-315.157075733333,-113.333333333333,-266.90983232,-113.333333333333,-415.755166746667
-54.45491616,-41,-167.666666666667,-41,-241
-41,-104.333333333333,-41,-41,-241
-41,-231,-41,-180.333333333333,-292.666666666667
-123.666666666667,-149,-123.666666666667,-263,-572.266666666667
-360.666666666667,-196,-246.666666666667,-196,-460
-165.333333333333,-51.3333333333333,-241.333333333333,-51.3333333333333,-187.333333333333
-41,-41,-79,-41,-162
-41,-193,-41,-79,-145.866666666667
-41,-167.666666666667,-41,-231,-154.666666666667
-249,-185.666666666667,-185.666666666667,-236.333333333333,-327.333333333333
-334.333333333333,-144.333333333333,-283.666666666667,-144.333333333333,-167.666666666667
-66.3333333333333,-41,-180.333333333333,-41,-41
-41,-91.6666666666667,-41,-41,-41
-41,-231,-41,-167.666666666667,-61.6666666666667
-92.6666666666667,-130.666666666667,-92.6666666666667,-244.666666666667,-246.666666666667
-348,-196,-234,-196,-303.333333333333
-209,-82.3333333333333,-272.333333333333,-82.3333333333333,-79
-41,-41,-91.6666666666667,-41,-41
-41,-180.333333333333,-41,-66.3333333333333,-41
-41,-180.333333333333,-41,-231,-123.666666666667
-205.333333333333,-154.666666666667,-154.666666666667,-218,-335.333333333333
-365.333333333333,-175.333333333333,-302,-175.333333333333,-190.666666666667
-79,-41,-193,-41,-41
-41,-79,-41,-41,-41
-41,-231,-41,-155,-81
-61.6666666666667,-112.333333333333,-61.6666666666667,-245,-381
-388.666666666667,-265.333333333333,-221.333333333333,-321.333333333333,-534.333333333333
-399.333333333333,-193.333333333333,-748.466666666667,-294.666666666667,-291.666666666667
-241,-194.666666666667,-432.266666666667,-241,-241
-241,-378,-241,-253.666666666667,-174.333333333333
-241,-672.533333333333,-241,-431,-92.6666666666667
-361.666666666667,-469.933333333333,-323.666666666667,-411.8,-322.666666666667
-586,-403.8,-510,-409,-234.333333333333
1303.8,1354.46666666667,1179.4,1341.46666666667,1111.66666666667
1355.26666666667,1339.46666666667,270.2,1352.66666666667,1435.26666666667
1351.8,1174.8,103.8,1263.46666666667,1370.46666666667
1351.8,1301.46666666667,1268.6,1187.46666666667,813
2061.36666666667,2201.03333333333,2185.76666666667,2225.03333333333,2010.1
2101.1,2239.03333333333,2050.63333333333,2282.36666666667,2282.36666666667
2383.96666666667,2372.7,2256.7,2444.36666666667,2545.7
2284.38,2269.36666666667,2332.7,2465.7,2545.7
2815.55,2682.88333333333,2242.48333333333,2317.88333333333,2967.88333333333
2738.55,2822.48333333333,2727.35,2776.55,2719.55
2481.21666666667,2740.21666666667,2532.21666666667,2651.28333333333,2751.55
2760.41666666667,2827.21666666667,2588.55,435.21666666667,2988.55
3055.55,2903.15,3015.55,663.55,3175.55
3049.48333333333,2857.75,3015.55,581.81666666667,3175.55
2376.15,2998.55,2999.55,1486.15,3080.21666666667
315.09508386667,3024.88333333333,2856.68333333333,3061.88333333333,2830.55
-845.273742,1931.55,1560.21666666667,1963.21666666667,2011.21666666667
-537.60707533333,2077.35,1794.30683434667,2097.55,2097.55
299.72625786667,1840.68333333333,1872.7262576,2076.21666666667,2097.55
1885.05959093333,1772.88333333333,1926.05959093333,1886.41172190667,2097.55
