winter_pro1_no_EV,winter_pro2_no_EV,winter_pro3_no_EV,winter_pro4_no_EV,winter_pro5_no_EV
1595.24292426667,1702.73333333333,1798.30959094733,1653.18113593333,1635.4
1295.4,1427.2,1611.03596462667,1572.18113593333,1600.73333333333
1492.06666666667,1330.2,1585.93797029333,1596.18113593333,1881.4
1640.4,1430.93333333333,1825.84780262,1656.15824208,1881.4
-185.883333333333,-231.35,-110.235530733333,-253.35,-1.35
-142.384798266667,-160.510585973333,-107.568864066667,-319.35,-53.0166666666667
-421.843444833334,-326.5421974,-125.40769212,-144.683333333333,-346.35
-498.059273033333,-308.9021974,-333.683333333333,-156.35,-131.35
-218.3759397,-280.285530733333,-163.333333333333,-72.6666666666667,-41
-245.3759397,-447.218864066667,-81,-127.305995946667,-41
-204.164035373333,-433.3681316,-81,-858.290408986667,-41
-202.157075733333,-187.333333333333,-136.882494933333,-445.157075733333,-243.333333333333
-575.666666666667,-394.490409066667,-393.490409066667,-545.835646726667,-365.333333333333
-545.933333333333,-444.890409066667,-466.157075733333,-507.921023546667,-41
-362,-396.96202042,-297.810409066667,-393.5521974,-41
-362,-582.709273033333,-244.8237424,-365.60327714,-41
-365.941247466667,-1837.93277412667,-264.656371833333,-1132.29535385333,-61.6666666666667
-457.690409066667,-2944.21886366667,-324.218864066667,-329.8237424,-373.333333333333
-597.8237424,-2968.4620294,-592.218864066667,-416.23766168,-214.666666666667
-294.157075733333,-2828.79883373333,-434.979776113334,-765.57593976,-41
-263.3411415,-1785.02374218667,-300.509273033333,-517.740446886667,-41
-1633.17593988,-455.8237424,-403.27245988,-558.5521974,-57
-2449.17594,-388.890409066667,-392.75506078,-621.538864066667,-199.666666666667
-857.909273113333,-364.90983232,-582.3759397,-489.598332426667,-412.666666666667
-654.042606366667,-391.486331306667,-729.709273033333,-596.477075733333,-278.266666666667
-418.3759397,-265.8237424,-406.509273033333,-373.8237424,-923.870898333333
-407.340446886667,-697.023742346667,-284.3759397,-424.490409066667,-405.3759397
-401.513109446667,-667.39187388,-308.147146646667,-483.157075733333,-405.3759397
-502.042606366667,-334.1759397,-792.71391,-311.490409066667,-706.642606366667
-734.242606366667,-557.693444833334,-703.96202042,-396.788249493333,-498.556275086667
-490.3759397,-465.885530733333,-604.3759397,-414.507817413333,-395.301464933333
-399.858193293333,-456.885530733333,-340.842606366667,-405.3759397,-656.933333333333
-366.206959653333,-577.24175792,-284.3759397,-544.709273033334,-362
-385.138278093333,-730.666666666667,-398.28169432,-544.709273033334,-486.376498986667
-533.469943806667,-444.666666666667,-507.954212293333,-479.9759397,-731.8237424
-1218.97593986,-1590.22757866667,-738.5521974,-552.309273033334,-453.490409066667
-1550.77594,-384.157075733333,-453.709273033333,-919.065953453333,-416.27245988
-1152.07246006,-675.918247646667,-405.3759397,-411.8237424,-430.922606366667
-373.8237424,-907.642606426666,-308.5759397,-563.8237424,-493.6959397
-435.580576746667,-280.434692266667,-696.102313453333,-392.2237424,-605.11694586
-700.4237424,-417.218864066667,-657.8237424,-394.337411093333,-325.138278093333
-454.090409066667,-375.885530733333,-631.74619222,-359.05769212,-41
-373.8237424,-312.431309193333,-399.069943806667,-280.434692266667,-41
-389.075081986667,-442.8237424,-405.3759397,-411.042606366667,-41
-393.5521974,-290.8237424,-805.17593976,-436.3759397,-112.333333333333
-589.1521974,-710.600848446666,-915.17593978,-333.939126546667,-386
-554.218864066667,-439.3759397,-602.557682873333,-407.8237424,-151.333333333333
-165.827838603333,-187.646442768,-199.666666666667,-688.372662500666,-41
-41,-211.88553072,-41,-66.3333333333333,-41
-41,-211.88553072,-41,-231,-41
-91.6666666666667,-62.0347982333333,-41,-104.333333333333,-263
-344.666666666667,-154.666666666667,-281.333333333333,-154.666666666667,-335.333333333333
-213.333333333333,-175.333333333333,-327.333333333333,-175.333333333333,-51.3333333333333
-41,-79,-41,-41,-41
-41,-231,-41,-155,-41
-41,-91.6666666666667,-41,-205.666666666667,-79
-201,-61.6666666666667,-87,-61.6666666666667,-375.666666666667
-335.333333333333,-196,-386,-196,-195
-113.333333333333,-113.333333333333,-176.666666666667,-113.333333333333,-41
-41,-167.666666666667,-41,-53.6666666666667,-41
-41,-193,-41,-231,-41
-79,-41,-41,-117,-219.333333333333
-313.666666666667,-123.666666666667,-237.666666666667,-123.666666666667,-348
-246.666666666667,-196,-360.666666666667,-196,-82.3333333333333
-51.3333333333333,-76.6666666666667,-51.3333333333333,-51.3333333333333,-41
-41,-231,-41,-142.333333333333,-41
-59.6666666666667,-557.466666666667,-41,-327.666666666667,-66.3333333333333
-231.666666666667,-147.666666666667,-80.3333333333333,-560.8,-344.666666666667
-479,-308.333333333333,-461,-305.666666666667,-238.666666666667
-344.333333333333,-344.333333333333,-921.4,-288.333333333333,-91.6666666666667
-241,-355,-241,-219.2,-41
-246.2,-405.666666666667,-241,-522,-41
-212.666666666667,-183.866666666667,-174.333333333333,-528.933333333333,-175.666666666667
-295.666666666667,-105.666666666667,-194,-304.666666666667,-360.666666666667
-272.333333333333,-209,-373.333333333333,-401.933333333333,-113.333333333333
-95.3333333333333,-108,-82.3333333333333,-203.333333333333,-41
1618.15,1429.01666666667,1620.75,1413.95,1583.41666666667
1489.28333333333,1526.08333333333,1587.88333333333,1340.08333333333,1568.08333333333
1299.08333333333,1172.95,1474.41666666667,1369.01666666667,1268.08333333333
1129.41666666667,1376.41666666667,1104.08333333333,1320.41666666667,1235.21666666667
2373.01666666667,2409.41666666667,2284.35,2386.01666666667,1962.79292437333
2490.52216138667,1113.21666666667,2513.41666666667,2552.35,2495.5262576
2687.06446931667,31.0166666666701,2720.35,2543.01666666667,2500.85959093333
2676.13113598,210.08333333333,2720.35,2619.01666666667,2434.19292426667
1941.68113593333,-335.76666666667,2074.56666666667,2163.23333333333,1677.0762576
1921.3478026,529.5,1838.9,2028.9,1366.14292437333
2090.53186841,2111.56666666667,2111.56666666667,2111.56666666667,2007.74292426667
2183.9,1993.9,2183.9,2107.9,761.74292466667
1927.3,1838.63333333333,1927.3,1737.3,534.476258
1825.96666666667,1927.3,1927.3,1914.63333333333,1468.64508386667
1667.3,1844.63333333333,1667.3,1844.63333333333,1550.63333333333
1772.3,1772.3,1670.96666666667,1772.3,1765.96666666667
1243.31666666667,1154.65,1243.31666666667,1243.31666666667,1133.65
1253.65,1063.65,1253.65,1088.98333333333,1133.65
1253.65,1253.65,1253.65,1139.65,645.183333333333
1063.65,1253.65,1177.65,1253.65,829.983333333333
2006.56666666667,2095.23333333333,1905.23333333333,2095.23333333333,1985.56666666667
2136.56666666667,2136.56666666667,2123.9,2136.56666666667,2027.40959093333
2239.9,2062.56666666667,2239.9,2176.56666666667,1987.0762576
2239.9,2138.56666666667,2239.9,2049.9,1960.40959093333
-87.116666666667,1.55,1.55,-23.7833333333333,-489.2737424
-240.116666666667,-50.1166666666667,-214.783333333333,-50.1166666666667,-680.940409013333
-153.45,-153.45,-267.45,-153.45,-1247.1010796
-39.7833333333333,-115.783333333333,-39.7833333333333,-39.7833333333333,-958.45
-41,-231,-41,-193,-201
-41,-53.6666666666667,-41,-167.666666666667,-277
-218.333333333333,-41,-104.333333333333,-41,-546.266666666667
-256,-154.666666666667,-344.666666666667,-154.666666666667,-521.666666666667
-175.333333333333,-175.333333333333,-200.666666666667,-175.333333333333,-376.2745808
-41,-205.666666666667,-41,-91.6666666666667,-373.8237424
-41,-155,-41,-231,-293.157075733333
-117,-41,-41,-79,-417.490409066667
-251.666666666667,-61.6666666666667,-213.666666666667,-61.6666666666667,-606.7437424
-208.666666666667,-196,-322.666666666667,-196,-361.2745808
-113.333333333333,-176.666666666667,-113.333333333333,-113.333333333333,-254
-41,-231,-41,-180.333333333333,-254
-41,-66.3333333333333,-54.3333333333333,-180.333333333333,-314.105995946667
-216.333333333333,-54.3333333333333,-118.333333333333,-49,-494.490409066667
-237.666666666667,-123.666666666667,-313.666666666667,-123.666666666667,-521.477075733333
-214.666666666667,-222.666666666667,-234,-196,-415.157075733333
-155.333333333333,-699.133333333333,-77.3961636146667,-106.90983232,-1552.15707554667
-241,-287.666666666667,-127.605793211333,-323.157075733333,-2880.30599573333
-304.333333333333,-256.138278093333,-186.309273033333,-266.593888886667,-3037.823742
-519.32,-272.5521974,-434.042606366667,-245.3759397,-3525.95707533333
-432.034798266667,-461.378864066667,-621.709273033333,-406.042606366667,-1080.62374229333
-456.5521974,-516.9921974,-515.398833573333,-475.45277406,-373.8237424
-793.35219732,-583.5521974,-761.24869632,-417.242606366667,-365.941247466667
-793.35219732,-417.94725264,-539.81886404,-409.44462132,-323.933333333333
-545.5521974,-386.8237424,-451.64644278,-394.7759397,-518.303479826667
-575.034085113333,-438.490409066667,-547.109273033333,-869.109273113333,-586.5521974
-1085.37593978,-452.2237424,-503.042606366667,-2928.12869606667,-476.13277406
-446.709273033333,-433.490409066667,-1544.64260650667,-2944.47785806667,-405.3759397
-405.3759397,-987.392327146667,-2904.37594,-3094.37594,-205.3759397
-456.042606366667,-362,-3295.50519513333,-2801.10927331333,-200.570995021333
-584.340446886667,-362,-3552.28553033333,-373.8237424,-273.247243413333
-547.583612526667,-1008.73333333333,-1658.81886390667,-512.732166906667,-196
-322.881434473333,-334.333333333333,-290.370146493333,-323.760111496667,-70
-68.9570757073333,-352,-41,-186.55219738,-195.93131844
-52.82374237,-212.666666666667,-41,-237.21886406,-110.55219736
-192.157075725333,-162,-66.3333333333333,-72.55219735,-262.5521974
-212.823742396,-126.2,-251.666666666667,-78.4945052533333,-267.885530733333
-206.247243413333,-196,-259.333333333333,-196,-169.575091246667
-113.333333333333,-240,-113.333333333333,-126,-41
-41,-193,-41,-231,-41
-79,-41,-41,-117,-167.666666666667
-231,-41,-155,-41,-244.666666666667
-174.333333333333,-123.666666666667,-288.333333333333,-123.666666666667,-196
-196,-221.333333333333,-196,-196,-82.3333333333333
-51.3333333333333,-241.333333333333,-51.3333333333333,-152.666666666667,-41
-41,-104.333333333333,-41,-218.333333333333,-66.3333333333333
-167.666666666667,-41,-53.6666666666667,-41,-231
-193,-41,-231,-41,-218
-185.666666666667,-185.666666666667,-261.666666666667,-185.666666666667,-175.333333333333
-144.333333333333,-258.333333333333,-144.333333333333,-144.333333333333,-41
-41,-205.666666666667,-41,-231,-41
-66.3333333333333,-41,-41,-129.666666666667,-155
-231,-41,-142.333333333333,-41,-226.333333333333
-156,-92.6666666666667,-270,-92.6666666666667,-196
-196,-208.666666666667,-196,-196,-113.333333333333
-82.3333333333333,-272.333333333333,-82.3333333333333,-171,-41
-41,-117,-41,-231,-53.6666666666667
-155,-41,-41,-41,-231
-205.666666666667,-41,-231,-41,-199.666666666667
-154.666666666667,-154.666666666667,-243.333333333333,-154.666666666667,-196
-175.333333333333,-276.666666666667,-175.333333333333,-175.333333333333,-51.3333333333333
-41,-218.333333333333,-59.6666666666667,-223.666666666667,-41
-53.6666666666667,-41,-41,-142.333333333333,-142.333333333333
-231,-41,-129.666666666667,-41,-218.333333333333
-137.666666666667,-61.6666666666667,-251.666666666667,-61.6666666666667,-191
-196,-196,-196,-196,-184.333333333333
-113.333333333333,-303.333333333333,-113.333333333333,-189.333333333333,-121
-41,-129.666666666667,-41,-231,-147.666666666667
-63.316666666667,30.0166666666667,21.1888280533333,-59.983333333333,-293.316666666667
-262.583333333333,-17.983333333333,-213.468864066667,-96.983333333333,-672.783333333333
-758.716666666667,-143.316666666667,-331.868864066667,-188.316666666667,-831.983333333333
-300.65,-378.56391008,-332.2021974,-700.45,-186.983333333333
-103.333333333333,-822.557075626667,-122.264651773333,-241.333333333333,-123.333333333333
-2258.8,-51.8237424,-861,-167,-268.333333333333
-3181.8,-51.8237424,-2123.66666666667,-290.333333333333,-361
-2670.26666666667,-9.83932927999999,-179,-1951.66666666667,-271.333333333333
-2780.96666666667,-222.966666666667,-179.633333333333,-401.633333333333,-310.5
-736.833333333333,-358.966666666667,-626.7,-156.966666666667,-67.966666666667
-510.1,-150.3,23.0333333333333,-144.766666666667,-30.633333333333
-198.966666666667,-30.3,-341.433333333333,37.3666666666667,-1137.03333333333
-358.46,-38.233333333333,-115.966666666667,23.45824212,-174.3
-267.34,-131.6491616,-516.766666666667,-34.518864033333,-159.3
-306.3,-303.1237424,-130.3,-137.8521974,-117.311904413333
-268.366666666667,-679.870995073333,-7.6333333333333,-758.585530546667,-27.85219739
-156.9,-2097.94260666667,-25.9,-1371.11886366667,-173.772197383333
-342.233333333333,-298.00519536,-91.9,-890.617399,-247.985530733333
-266.233333333333,0.0811359833332972,-312.22,-364.7,-195.785530733333
-262.566666666667,-160.452197396667,-213.943165653333,-84.877106146667,-255.4521974
-238.3,-424.44810114,-322.457075733333,-221.8521974,-162.221023546667
-126.589107246667,-2889.45707533333,-222.790409066667,-299.2680256,-1480.6759399
-288.342606366667,-2774.65707533333,-378.5237424,-207.6759397,-1547.34260654667
-397.009273033333,-2666.45707533333,-385.190409066667,-169.6759397,-324.05506078
-218.109273033333,-343.482494906667,-275.557075733333,-188.614767806667,-316.2237424
-358.442606366667,-337.6,-318.576652886667,-474.623742346667,-250.8
-185.211644536,-381.737411093333,-733.2620296,-1548.84724306667,-84.866666666667
-127.552997973333,-196.867515193333,-138.8559397,-1898.53333333333,-247.4
-337.490409066667,-214.7759397,-280.949273033333,-298.4,-432
-305.490409066667,-212.3759397,-359.5759397,-148.733333333333,-343
-295.490409066667,-282.313109446667,-691.867515113333,-254.8,-437
-367.8237424,-593.418864066667,-443.00407776,-315.72949696,-277.466666666667
-226.243165653333,-506.5521974,-300.448717573333,-373.090409066667,-755.101464826667
-309.851079786667,-374.62087896,-318.885530733333,-348.757075733333,-917.61886396
-442.8237424,-362,-559.125530733333,-333.8237424,-383.218864066667
-300.357075733333,-895.066666666667,-536.845530733334,-333.8237424,-386.218864066667
-931.290408986667,-541.2,-417.218864066667,-515.925660586667,-390.05769212
-490.157075733333,-619.933333333333,-750.443772813333,-605,-241
-401.291276066667,-946.066666666667,-261.466666666667,-539.62087896,-291.666666666667
-558.5521974,-391.827838613333,-708.982050853333,-548.48960844,-475.16
-428.3521974,-406.5521974,-863.08553068,-812.109273093333,-365.906666666667
-337.218864066667,-979.152197293334,-510.462029706667,-457.042606366667,-396
-435.3521974,-619.618864066667,-573.3759397,-1118.77593978,-421.352997973333
-313.885530733333,-466.218864066667,-383.042606366667,-617.777954653333,-906.89040896
-329.182050906667,-264.517399133333,-523.56403532,-431.63932928,-513.157075733333
-552,-269.24689606,-512.757075706667,-273.266666666667,-513.157075733333
-400,-297.3759397,-418.759851653333,-241,-440.357075733333
-475.666666666667,-481.309273033333,-426.5521974,-465.066666666667,-408.29424544
-496.333333333333,-737.509273033333,-527.885530733333,-578.066666666667,-361.133333333333
-319.91043948,-453.677857906667,-393.5521974,-529.266666666667,-435.3411415
-425.12485996,-378.827838613333,-391.540292986667,-404.448717573333,-605.7759397
-436.709273033333,-393.5521974,-555.941247466667,-406.5521974,-456.042606366667
-318.042606366667,-326.877857906667,-525.14810116,-427.218864066667,-550.042606366667
-452.3759397,-687.042606366667,-960.17593976,-486.383612526667,-490.999440726667
-355.511895126667,-629.709273033333,-566.029273033333,-542.502313393333,-379.611644573333
-279.866666666667,-403.27245988,-405.3759397,-893.442606446666,-504.697368706667
-231,-172.247243413333,-318.587690213333,-84.37593973,-957.17593976
-91.6666666666667,-162,-282.47362632,-84.37593973,-457.042606366667
-123.666666666667,-149,-123.666666666667,-160.736610487333,-369.556275086667
-196,-386,-196,-309.954212293333,-113.885530696667
-51.3333333333333,-114.666666666667,-54,-228.666666666667,-66.3333333333333
-245.333333333333,-41,-650.733333333333,-59.6666666666667,-231
-314,-41,-231,-41,-104.333333333333
-162,-41,-117,-41,-154.666666666667
-306.666666666667,-299.666666666667,-185.666666666667,-185.666666666667,-175.333333333333
-265.333333333333,-309,-144.333333333333,-334.333333333333,-41
-187.333333333333,-41,-41,-129.666666666667,-155
-247.133333333333,-41,-142.333333333333,-41,-205.666666666667
-104.333333333333,-41,-218.333333333333,-41,-61.6666666666667
-92.6666666666667,-105.333333333333,-92.6666666666667,-92.6666666666667,-196
-196,-386,-196,-284.666666666667,-113.333333333333
-82.3333333333333,-158.333333333333,-82.3333333333333,-272.333333333333,-53.6666666666667
-155,-41,-41,-41,-231
-205.666666666667,-41,-231,-41,-117
-41,-41,-129.666666666667,-41,-123.666666666667
-154.666666666667,-256,-154.666666666667,-154.666666666667,-196
-175.333333333333,-352.666666666667,-175.333333333333,-352.666666666667,-51.3333333333333
-53.6666666666667,-41,-41,-142.333333333333,-142.333333333333
-231,-41,-129.666666666667,-41,-218.333333333333
-117,-41,-231,-41,-41
-61.6666666666667,-61.6666666666667,-61.6666666666667,-61.6666666666667,-185.666666666667
-196,-386,-196,-272,-144.333333333333
-113.333333333333,-202,-113.333333333333,-303.333333333333,-41
-142.333333333333,-41,-41,-53.6666666666667,-231
-218.333333333333,-41,-218.333333333333,-41,-129.666666666667
-41,-41,-142.333333333333,-41,-92.6666666666667
-123.666666666667,-212.333333333333,-123.666666666667,-123.666666666667,-196
-196,-386,-196,-360.666666666667,-82.3333333333333
-51.3333333333333,-51.3333333333333,-51.3333333333333,-165.333333333333,-129.666666666667
-231,-41,-117,-41,-231
-129.666666666667,-41,-231,-41,-41
-41,-41,-53.6666666666667,-41,-154.666666666667
-185.666666666667,-371,-186.533333333333,-249,-175.333333333333
-144.333333333333,-315,-168,-369,-41
-185.666666666667,-141.4,-128.666666666667,-178.333333333333,-234.333333333333
-392.466666666667,-629.8,-373.333333333333,-214.333333333333,-233
801.183333333333,628.479853506667,655.183333333333,776.85,825.516666666667
712.183333333333,204.831136013333,713.05,636.863333333333,643.183333333333
614.916666666667,254.03113596,608.85,469.85,656.116666666667
735.516666666667,678.2978026,722.516666666667,75.7833333333331,579.85
-317.316666666667,-169.8021974,-185.45,-546.45,-1374.78333333333
-244.783333333333,-166.335530733333,-293.45,-1378.45,-1597.45
-106.116666666667,-128.427106146667,-128.783333333333,-3578.11666666667,-338.32362632
-241.316666666667,-381.783333333333,-237.85494476,-2799.85,-362.868864066667
1475.66666666667,1482.66666666667,1521.11446926667,-1132.33333333333,1644.85955311333
1534,1737.06666666667,1159.11446937333,-934.32,1414.95739363333
1429.53333333333,1743.21175050667,1476.0478026,936.28,1465.6240603
1597.33333333333,1720.90959093333,1601.11446926667,1188.13333333333,1583.83101994
2580.65683434667,2555.60959093333,2622.68113593333,2679.69783120667,2443.40959093333
2462.94292426667,2154.34292426667,2483.41830568,1954.39072690667,2523.60959093333
2650.20959093333,2517.40959093333,2552.05739363333,1620.85739343333,2640.6254192
1465.00959125333,2224.33908789333,2486.85739363333,1295.85739333333,1984.83333333333
234.876258,2408.7,651.38175246,1783.79072684667,2451.36666666667
218.34292466667,2416.76666666667,1482.54292445333,2283.59072696667,2436.3
2282.27827255333,2289.7,2377.2762576,2201.99072696667,2331.23333333333
2290.78689055333,2208.03333333333,1990.07625768,1995.41830568,2457.00191818667
2004.91446926667,2118.13333333333,2133.64292426667,2094.0240603,1965.44292426667
1821.31446926667,2145.4,2007.24292426667,2195.0240603,1336.84292437333
1997.34230788,2024.4,1991.10959093333,2219.024060282,1975.1762576
1998.46666666667,1973.73333333333,2052.24292426667,2216.072777794,1871.90959093333
-435.683333333333,-661.46538424,-335.840409066667,-577.75407776,-435.930576746667
-284.016666666667,-424.235530733333,-265.291247466667,-866.483333333333,-421.555530733333
-357.920647666667,-234.5021974,-169.35,-351.710912106667,-413.9821974
-309.1259397,-231.635530733333,-297.15,-188.507075733333,-239.9021974
-244.3759397,-353.5521974,-180.4,-203.157075733333,-253.218864066667
-296.042606366667,-529.827838613333,-276.12086972,-282.6237424,-372.827838613333
-399.3759397,-619.8,-440.3759397,-492.54810114,-417.266666666667
-347.042606366667,-787.957075653333,-474.442606366667,-269.042606366667,-786.443772813333
-985.358289933333,-321.64462132,-453.787690213333,-153.340446886667,-411.885530733333
-690.62374232,-297.3759397,-304.5521974,-155.218864066667,-319.199440726667
-252.8237424,-328.442606366667,-204.345237746667,-232.5521974,-458.042606366667
-366.490409066667,-588.042606366667,-443.666666666667,-462.770146493333,-611.042606366667
-387.157075733333,-458.340446886667,-496.333333333333,-571.5521974,-527.881434473333
-381.121582826667,-393.286485193333,-387.333333333333,-272.5521974,-624.490409066667
-380.333333333333,-373.8237424,-556.72949696,-272.5521974,-841.562733586667
-297.466666666667,-373.8237424,-340.357075733333,-272.5521974,-406.5521974
-386.133333333333,-521.157075733333,-275.593888886667,-305.885530733333,-351.218864066667
-530,-664.690409066667,-444.5759397,-627.9521974,-325.885530733333
-489.540292986667,-325.157075733333,-369.709273033333,-954.3268748,-543.01886404
-596.5521974,-241,-402.705195346667,-287.9037424,-836.40423152
-412.5521974,-241,-450.218864066667,-830.948687146667,-265.8237424
-282.799440726667,-279.333333333333,-276.018864066667,-405.3759397,-317.490409066667
-391.242606366667,-526.666666666667,-354.421727446667,-589.3759397,-420.8237424
-560.3759397,-472.333333333333,-439.3759397,-1133.56802566,-322.090409066667
-512.92722222,-286.4481104,-318.642606366667,-401.782050906667,-437.305995946667
-1058.89040896,-284.3759397,-584.1759397,-362,-313.00407776
-362.788249493333,-373.109273033333,-494.3759397,-698.65899384,-341.557075733333
-362,-519.3759397,-389.82434954,-301.2237424,-495.904328346667
-394.080585973333,-714.709273033333,-518.490409066667,-708.490409066667,-539.709273033334
-401.218864066667,-495.827125473334,-496.088394113334,-578.44462132,-519.3759397
-462.5521974,-403.799440726667,-393.7759397,-403.01119124,-520.066107393334
-339.03852868,-300.509273033333,-582.709273033333,-393.5521974,-337.085530733333
-284.3759397,-297.042606366667,-403.01119124,-777.218863986667,-412.63347796
-333.939126546667,-523.939126546667,-445.218864066667,-533.885530733333,-528.8237424
-462.157075733333,-443.191526626667,-452.43681316,-671.885530733334,-458.8237424
-329.157075733333,-113.885530696667,-146.866666666667,-209.643772813333,-563.8237424
-326.666666666667,-72.55219735,-231,-162,-292.243165653333
-162,-72.55219735,-129.666666666667,-145.866666666667,-41
-97.4666666666667,-157.057692096667,-41,-41,-123.666666666667
-154.666666666667,-332,-154.666666666667,-332,-196
